task_id,job_id,assignee,assign_date
1,1,4,201111
1,2,5,201111
1,3,6,201111
1,4,7,201111
1,5,8,201111
1,6,9,201111
1,7,10,201111
1,8,11,201111
2,9,12,201111
2,10,13,201111
2,11,14,201111
2,12,15,201111
2,13,16,201111
2,14,17,201111
2,15,18,201111
2,16,19,201111
2,17,20,201111
2,18,21,201111
2,19,23,201111
2,20,24,201111
2,21,25,201111
2,22,26,201111
2,23,27,201111
2,24,28,201111
2,25,4,201111
2,26,5,201111
2,27,6,201111
2,28,7,201111
2,29,8,201111
2,30,9,201111
2,31,10,201111
2,32,11,201111
2,33,12,201111
2,34,13,201111
2,35,14,201111
2,36,15,201111
2,37,16,201111
3,38,17,201111
3,39,18,201111
3,40,19,201111
3,41,20,201111
3,42,21,201111
3,43,23,201111
3,44,24,201111
3,45,25,201111
3,46,26,201111
3,47,27,201111
3,48,28,201111
3,49,4,201111
3,50,5,201111
3,51,6,201111
3,52,7,201111
3,53,8,201111
3,54,9,201111
3,55,10,201111
3,56,11,201111
3,57,12,201111
3,58,13,201111
3,59,14,201111
3,60,15,201111
3,61,16,201111
3,62,17,201111
3,63,18,201111
3,64,19,201111
3,65,20,201111
3,66,21,201111
3,67,23,201111
3,68,24,201111
3,69,25,201111
3,70,26,201111
3,71,27,201111
3,72,28,201111
3,73,4,201111
3,74,5,201111
3,75,6,201111
3,76,7,201111
3,77,8,201111
3,78,9,201111
3,79,10,201111
3,80,11,201111
3,81,12,201111
3,82,13,201111
3,83,14,201111
3,84,15,201111
3,85,16,201111
3,86,17,201111
3,87,18,201111
3,88,19,201111
3,89,20,201111
3,90,21,201111
3,91,23,201111
3,92,24,201111
3,93,25,201111
3,94,26,201111
3,95,27,201111
3,96,28,201111
3,97,,
3,98,,
3,99,,
3,100,,
3,101,,
3,102,,
3,103,,
3,104,,
3,105,,
3,106,,
3,107,,
3,108,,
3,109,,
3,110,,
3,111,,
3,112,,
3,113,,
3,114,,
3,115,,
3,116,,
3,117,,
3,118,,
4,119,4,201111
4,120,5,201111
4,121,6,201111
4,122,7,201111
4,123,8,201111
4,124,9,201111
4,125,10,201111
4,126,11,201111
4,127,12,201111
4,128,13,201111
4,129,14,201111
4,130,15,201111
4,131,16,201111
4,132,17,201111
4,133,18,201111
4,134,19,201111
4,135,20,201111
4,136,21,201111
4,137,23,201111
4,138,24,201111
4,139,25,201111
4,140,26,201111
4,141,27,201111
4,142,28,201111
4,143,4,201111
4,144,5,201111
4,145,6,201111
4,146,7,201111
4,147,8,201111
4,148,9,201111
4,149,10,201111
4,150,11,201111
4,151,12,201111
4,152,13,201111
5,153,14,201111
5,154,15,201111
5,155,16,201111
5,156,17,201111
5,157,18,201111
5,158,19,201111
5,159,20,201111
5,160,21,201111
5,161,23,201111
5,162,24,201111
5,163,25,201111
5,164,26,201111
5,165,27,201111
5,166,28,201111
5,167,4,201111
5,168,5,201111
5,169,6,201111
5,170,7,201111
5,171,8,201111
5,172,9,201111
5,173,10,201111
5,174,11,201111
5,175,12,201111
5,176,13,201111
5,177,14,201111
5,178,15,201111
5,179,16,201111
5,180,17,201111
5,181,18,201111
5,182,19,201111
5,183,20,201111
5,184,21,201111
5,185,23,201111
5,186,24,201111
5,187,25,201111
5,188,26,201111
5,189,27,201111
5,190,28,201111
5,191,4,201111
5,192,5,201111
5,193,6,201111
5,194,7,201111
5,195,8,201111
5,196,9,201111
5,197,10,201111
5,198,11,201111
5,199,12,201111
5,200,13,201111
5,201,14,201111
5,202,15,201111
5,203,16,201111
5,204,17,201111
5,205,18,201111
5,206,19,201111
5,207,20,201111
5,208,21,201111
5,209,23,201111
5,210,24,201111
5,211,25,201111
5,212,26,201111
5,213,27,201111
5,214,28,201111
5,215,,
5,216,,
5,217,,
5,218,,
5,219,,
5,220,,
5,221,,
5,222,,
5,223,,
5,224,,
5,225,,
5,226,,
5,227,,
5,228,,
5,229,,
5,230,,
5,231,,
5,232,,
5,233,,
5,234,,
5,235,,
5,236,,
5,237,,
6,238,4,201111
6,239,5,201111
6,240,6,201111
6,241,7,201111
6,242,8,201111
6,243,9,201111
6,244,10,201111
6,245,11,201111
6,246,12,201111
6,247,13,201111
6,248,14,201111
6,249,15,201111
6,250,16,201111
6,251,17,201111
7,252,18,201111
7,253,19,201111
7,254,20,201111
7,255,21,201111
7,256,23,201111
7,257,24,201111
7,258,25,201111
7,259,26,201111
7,260,27,201111
7,261,28,201111
7,262,4,201111
7,263,5,201111
7,264,6,201111
7,265,7,201111
7,266,8,201111
7,267,9,201111
7,268,10,201111
7,269,11,201111
8,270,12,201111
8,271,13,201111
8,272,14,201111
8,273,15,201111
8,274,16,201111
8,275,17,201111
8,276,18,201111
8,277,19,201111
8,278,20,201111
8,279,21,201111
8,280,23,201111
8,281,24,201111
8,282,25,201111
8,283,26,201111
8,284,27,201111
8,285,28,201111
8,286,,
,287,,
,288,,
,289,,
,290,,
,291,,
,292,,
,293,,
,294,,
,295,,
,296,,
,297,,
,298,,
,299,,
,300,,
,301,,
,302,,
,303,,
,304,,
,305,,
,306,,
,307,,
,308,,
,309,,
,310,,
,311,,
,312,,
,313,,
,314,,
,315,,
,316,,
,317,,
,318,,
,319,,
,320,,
,321,,
,322,,
,323,,
,324,,
,325,,
,326,,
,327,,
,328,,
,329,,
,330,,
,331,,
,332,,
,333,,
,334,,
,335,,
,336,,
,337,,
,338,,
,339,,
,340,,
,341,,
,342,,
,343,,
,344,,
,345,,
,346,,
,347,,
,348,,
,349,,
,350,,
,351,,
,352,,
,353,,
,354,,
,355,,
,356,,
,357,,
,358,,
,359,,
,360,,
,361,,
,362,,
,363,,
,364,,
,365,,
,366,,
